profesor,url,komentar
Planinšič Peter,https://profesorji.net/profesor/feri/uni/planinsic,"Napisal:Damianmoč komentarja:-5+20Katastrofa od profesorja. če mu lahko rečem profesor. zgubljen, neorganiziran, brez nobenega načrta. na koncu ko je treba upisat oceno mi brez enega kolokvija al pikice snovi da bi nas ocenu... pa reče: joj čas me je povozil. wtf? eni bi radi nekaj imeli od tega faxa... če bi take prof hotu da nič neznam bi se upisal na ekonomskostrinjam sene strinjam se"
Planinšič Peter,https://profesorji.net/profesor/feri/uni/planinsic,moč komentarja:-2+16Boljši je ko Gleichstrinjam sene strinjam se
Planinšič Peter,https://profesorji.net/profesor/feri/uni/planinsic,"moč komentarja:-0+8Pač, če je lahka ta tip prisu do doktorata pol nima noben izgovora, da ne nardi FERI-ja. To da ma dokaj normaln odnos do študentov pa da je prijazn še ne pomeni, da je uredu profesor. Vaje potekajo tk, da bote v roku 1 ure in pol vaj napisali maksimalno 20 vrstic in pol bo opazu, da zmankuje časa, ker je prej kr neki govoriu umes in kr naenkrat bote meli speedrun matlab-a. Od tega predmeta tk nevem, če je že kdo kej odnesu razn unih 30000 plusov, ko jih det potala v roku ene ure. Dekanu se more prau tk jebat kdo predava na ttmu faksu, da te prau glava boli.strinjam sene strinjam se"
Planinšič Peter,https://profesorji.net/profesor/feri/uni/planinsic,Napisal:pero-mišicamoč komentarja:-1+8Pravkar ga imamo zagovor čakamo že 3 ure ker ga staremu tak dogaja. Nevem na kakšnih tabletah je. Verjetno shujševalnih.strinjam sene strinjam se
Planinšič Peter,https://profesorji.net/profesor/feri/uni/planinsic,moč komentarja:-17+6Profesor ima prijazen odnos. Zna ohraniti zanimivo predavanje in vaje. Sploh pa gre poudariti njegov pozitiven pristop do snovi in študentov.strinjam sene strinjam se
Planinšič Peter,https://profesorji.net/profesor/feri/uni/planinsic,moč komentarja:-17+1Odličen profesor z veliko vsestranskega znanja. Ima zanimiv pouk in pošteno ocenjuje. Več takšnih profesorjev na FERIju bi bil pravi užitek.strinjam sene strinjam se
Pocrnjič Simon,https://profesorji.net/profesor/feri/uni/simon-pocrnjic,"Fakulteta za elektrotehniko, računalništvo in informatiko / UNISimon Pocrnjič-/5Število ocen:0Predmeti:dodaj predmetKomentiraj predmete! Klikni na ime predmeta zgoraj!Spremeni podatke profesorjaDodaj komentarSponzorjiO tem profesorju še nihče ni napisal mnenja."
Pocrnjič Simon,https://profesorji.net/profesor/feri/uni/simon-pocrnjic,Simon Pocrnjič-/5Število ocen:0Predmeti:dodaj predmetKomentiraj predmete! Klikni na ime predmeta zgoraj!Spremeni podatke profesorjaDodaj komentarSponzorjiO tem profesorju še nihče ni napisal mnenja.
Podgorelec David,https://profesorji.net/profesor/feri/uni/david-podgorelec,"moč komentarja:-3+11Človek je eden najbolj dolgočasnih predavateljev na faksu. In če bi njegova predavanja posneli in iz njih izrezal vse tiste ""pač"" in ""v bistvu"", bi bila predavanja za tretino krajša, ter verjetno manj utrujujoča.

Drugače pa je OK, ""u izi"".strinjam sene strinjam se"
Podgorelec David,https://profesorji.net/profesor/feri/uni/david-podgorelec,moč komentarja:-0+11-krat sem bil na njegovem predavanju in še takrat sem zaspal in potem se sprašuje zakaj noben ne hodi k njemu na predavanja?strinjam sene strinjam se
Podgorelec David,https://profesorji.net/profesor/feri/uni/david-podgorelec,Napisal:FERImoč komentarja:-9+1Čemo vse se na tem FERI-je reče profesor.strinjam sene strinjam se
Podgorelec David,https://profesorji.net/profesor/feri/uni/david-podgorelec,moč komentarja:-9+1Čemo vse se na tem FERI-je reče profesor.strinjam sene strinjam se
Pogorelc Janez,https://profesorji.net/profesor/feri/uni/janez-pogorelc,"moč komentarja:-0+13Ta tip dela vsako leto identične vaje v identičnih programih in še vedno ne zna pomagati pri kakšni težavi, če je ni v njegovem PDF-u. Pravi kekec ni kejstrinjam sene strinjam se"
Pogorelc Janez,https://profesorji.net/profesor/feri/uni/janez-pogorelc,"moč komentarja:-0+6Študent ima težave pri čemur koli
Pogorelec: ""Pozanimajte se pri sošolcih""strinjam sene strinjam se"
Pogorelc Janez,https://profesorji.net/profesor/feri/uni/janez-pogorelc,"Napisal:Špricermoč komentarja:-2+5Nevem zakaj se študenti tako pritožujejo. Profesor je vedno dostopen, če rabiš pomoč ti bo vedno pomagu, sicer pa nemore  vsak vsega znat (vsak dan se naučiš neki novga). Hitro popravi kolokvije snov pa tudi vredu razloži. Razume, da njegov predmet ni edini kot glavni profesor letnika pa se še posebej potrudi in dogovori z ostalimi profesorji (pripravi tabelo vseh kolokvijev), da se nam v istem tednu pojavlja čim manj kolokvijev in za kakršno koli vprašanje glede česar koli pa še kaki glupo vam bo odgovoril na mail.strinjam sene strinjam se"
Pogorelc Janez,https://profesorji.net/profesor/feri/uni/janez-pogorelc,"moč komentarja:-1+1Toti je tak star, da je jezusi 5 eurov dužen ostal. Pol pa on uči programiranje. 90% študentov ve več od njega pol pa se dela pametnega pa daje nizke ocene. Pri njemu bi mogli meti vsi 10.strinjam sene strinjam se"
Pogorelc Janez,https://profesorji.net/profesor/feri/uni/janez-pogorelc,"moč komentarja:-1+0Toti je tak star, da je jezusi 5 eurov dužen ostal. Pol pa on uči programiranje. 90% študentov ve več od njega pol pa se dela pametnega pa daje nizke ocene. Pri njemu bi mogli meti vsi 10.strinjam sene strinjam se"
Pohorec Sandi,https://profesorji.net/profesor/feri/uni/sandi-pohorec,"Fakulteta za elektrotehniko, računalništvo in informatiko / UNISandi Pohorec2.0/5Število ocen:4Predmeti:dodaj predmetKomentiraj predmete! Klikni na ime predmeta zgoraj!Spremeni podatke profesorjaDodaj komentarSponzorjiO tem profesorju še nihče ni napisal mnenja."
Pohorec Sandi,https://profesorji.net/profesor/feri/uni/sandi-pohorec,Sandi Pohorec2.0/5Število ocen:4Predmeti:dodaj predmetKomentiraj predmete! Klikni na ime predmeta zgoraj!Spremeni podatke profesorjaDodaj komentarSponzorjiO tem profesorju še nihče ni napisal mnenja.
Polajžer Boštjan,https://profesorji.net/profesor/feri/uni/bostjan-polajzer,"moč komentarja:-2+4Na predavanjih in vajah deluje zgubljen, daja obcutek, sa sploh neve o cem govori, saj se nenehno moti. Pri ocenjevanju je zelo subjektiven. Po moji oceni na na tako ugledni fakulteti nebi smelo biti prostora za tak kader kot je profesor Polajžer.strinjam sene strinjam se"
Polajžer Boštjan,https://profesorji.net/profesor/feri/uni/bostjan-polajzer,"moč komentarja:-0+1Zelo slaba razlaga snovi, deluje precej izgubljen, na ustnem ocenjevanju pa žaljiv do študentovstrinjam sene strinjam se"
Polančič Gregor,https://profesorji.net/profesor/feri/uni/gregor-polancic,"moč komentarja:-7+59Všeč mi je njegov odnos, pripravljenost na predavanja, resnost. Nimam večjih pripomb.strinjam sene strinjam se"
Polančič Gregor,https://profesorji.net/profesor/feri/uni/gregor-polancic,"moč komentarja:-0+15Lepo počasi in razločno razlaga snov, pripravljen pomagati.strinjam sene strinjam se"
Polančič Gregor,https://profesorji.net/profesor/feri/uni/gregor-polancic,"moč komentarja:-1+11Svojo službo jemlje resno, pripravljen na predavanje, prilagodljiv, zanimivo predstavlja … vsec so mi bonus naloge ;)strinjam sene strinjam se"
Pongrac Blaž,https://profesorji.net/profesor/feri/uni/blaz-pongrac,moč komentarja:-0+11Poštejakstrinjam sene strinjam se
Pongrac Blaž,https://profesorji.net/profesor/feri/uni/blaz-pongrac,moč komentarja:-0+4Pubec ve za kej se grestrinjam sene strinjam se
Pongrac Blaž,https://profesorji.net/profesor/feri/uni/blaz-pongrac,Napisal:blazovamamamoč komentarja:-1+3en kozarec vode pije pol ure kamela enastrinjam sene strinjam se
Pongrac Blaž,https://profesorji.net/profesor/feri/uni/blaz-pongrac,Napisal:dušan gleichmoč komentarja:-1+3Šupakstrinjam sene strinjam se
Pongrac Blaž,https://profesorji.net/profesor/feri/uni/blaz-pongrac,Napisal:Lopovmoč komentarja:-0+2Poštejokstrinjam sene strinjam se
Pongrac Blaž,https://profesorji.net/profesor/feri/uni/blaz-pongrac,moč komentarja:-4+6zgleda v redu dečko ampak razlagat pa nezna :(strinjam sene strinjam se
